"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","313.294236504898","313.092687231644","297.301047889797","290.528259426886","275.04627633571","253.472984367919","239.18535082364","223.619813142934","206.65409768976","204.985718191534","200.566187293842","191.83361494289","192.132270795687","193.234673179489","187.388199869336","182.396383915249","176.753498248101","182.803014997215","168.42652986921","167.350790919036","176.446602546825","172.819545887817","",
"Afghanistan","AFG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.1578290518573","86.5130611798979","85.436110133144","71.2059266144229","39.490037985024","28.4580092143073","21.324848591464","22.6692460509647","19.779188870098","13.0267993041219","13.4390261514157","16.0705391811179","9.395939774314","11.5017605507801","12.6553350960174","14.1533392767608","27.4629854331431","29.0770272917953","22.4021474376735","14.2025372213781","8.42704502562001","6.25162836523018","",
"Africa Western and Central","AFW","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412.922950859075","408.634085549908","397.044462916175","392.974399562405","390.486625180182","385.983919972404","381.15732729879","379.530732329928","380.724215951452","375.4194573105","365.396584513257","352.452331024572","335.257334048296","317.290004864219","304.090647658543","295.948844158309","289.175139051025","285.766208918122","284.103910935102","278.63746523442","285.258562511879","281.210886062937","",
"Angola","AGO","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","325.703607159462","326.65069530991","309.120942259612","313.730994443775","313.732578361456","316.022133619683","301.362959279461","274.332707018678","233.453999689154","196.812688838526","172.71905884537","157.172760775305","154.216328111542","160.698354452946","166.779669623079","176.683541107961","189.452176827223","208.948763026604","214.247213069016","227.253732950003","251.582321424507","254.873117098939","",
"Albania","ALB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.5533939439703","28.5654817627826","25.7171630452747","24.1469816496618","21.4761879367693","22.0713320720739","21.7714153377391","18.0478578198218","13.0296631479282","11.358239708696","13.1732941516935","11.2224600181495","10.9128472956232","10.9431731202349","11.8417901485614","12.9408658679954","15.6498758320553","15.6418240595874","17.069714251497","17.9139179938243","18.9730888071135","19.7633241550084","",
"United Arab Emirates","ARE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","",
"Argentina","ARG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37384881820095","1.14726630452183","0.659891777748449","0.647891739380323","0.599970001499925","1.18248085507187","0.871397884326997","1.64509980940917","0.521433395574272","0.452264023871675","0.262773722627737","0","0","0","0","0","0","0","0","0","0","","",
"Armenia","ARM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0445002292866424","0.0252143780682148","0.0167469824031082","0.00940306124765005","0.01533069449677","0.00229715618627443","","0","0","","0","","0","","0","0","0","0","0","0","","","",
"American Samoa","ASM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.10077663409015","5.53321503942547","2.62258644148776","2.46617993865377","1.96147181527611","1.21551234850045","0.699553972325446","0.528885471809915","0.347837849589117","0.37186950241","0.235343955190511","0.0185824386663384","0.0137508708884896","0","0","0","0","0","0","0","","","",
"Burundi","BDI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","448.439587491968","435.78690044077","417.772281829068","393.462118228568","344.557036476111","312.230929908941","282.304173701619","238.034747839699","204.734317946285","175.954024667238","169.242451053815","165.06134426596","166.292939834795","175.226809944887","182.626859317462","199.915205793749","231.692858519239","250.531728792902","288.499593508385","298.872119350176","303.437816662489","291.444739245522","",
"Belgium","BEL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","412.44634377452","430.845859029365","453.701487247407","470.195612914547","488.901842966683","494.038654780175","492.795768373025","488.0070112946","469.767648660766","439.576216509454","408.963963534769","380.813005455267","364.564166566308","364.117694420166","369.022757187953","389.70726849696","419.330227080879","420.503313894315","408.066858487073","401.714779384699","378.154274066621","383.450662639038","",
"Burkina Faso","BFA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","599.3173545017","599.748207394036","594.74928850866","584.463590331398","561.277547923814","530.65224900291","513.212126478443","521.352064779237","551.823983750403","570.775683254631","570.472881013623","556.661523512119","535.215171068473","488.774131331051","447.606368839091","419.282114240716","374.321120004267","357.614175298089","357.025623452757","356.663249273088","377.402134851017","376.771822989732","",
"Bangladesh","BGD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.81074891316382","6.8108078482181","6.810775471946","6.81078571750234","6.81081467179941","6.81076726742572","4.46890168911822","8.19004554957543","7.7407313211043","5.10941636092132","4.34349692520251","3.92714572619228","2.16303863177824","1.90752068739815","3.95181591886428","2.67967533021174","1.84039528252113","1.91582740367192","0.704337582065953","1.19126018887896","0.419102078379699","0.492782390832556","",
"Bulgaria","BGR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.95828309621413","6.7878193108202","6.42016407085959","7.26841533174497","5.67721869541136","8.0069058917181","4.23645864182348","4.12096620807709","2.56030951297223","1.18093709203467","0.674906525446226","0.316649148345728","0.141892763469063","0.0840922660342928","0.0781536006186475","0.0362450163102573","0.0157825169168853","0.0270753235501164","0.0113798008534851","0","0","0","",
"Bermuda","BMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7096733645783","5.62775417828614","4.895581321802","6.70907701518109","4.83264289313775","6.4161886532468","5.94610713849311","4.49399385971403","2.94699776554658","2.92632862424835","4.0230789630853","2.0523850070731","2.09544886358186","2.2376170383889","2.21979526760001","1.85143298726874","1.46975590700966","1.19411144037789","1.37474495338135","2.36832619192089","3.04815553903379","2.7244058222359","",
"Brazil","BRA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3083917183528","12.9119007144122","11.1145178284973","12.5601291458486","13.7802303154187","17.3596646210981","15.2406436434766","13.8017155393292","8.58278482980368","8.32824664624968","9.78490637098198","7.05972156474454","6.35772829360908","4.82738294568896","3.54941423612453","3.95141252752549","3.14394274500717","5.2192590619221","5.12877211317562","4.15543161082998","3.86130878850313","3.72380182017546","",
"Barbados","BRB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6583412537138","13.4007477715824","14.2132090505245","8.10437308223831","5.55101633495706","3.71797196343553","3.74940788258814","1.57218365008307","0.644586161969416","2.04733468789283","0.835119454644011","0.367518906384978","0.153659628930735","0.0278098621187036","0.0348685273002217","0.0618157091898142","0.0270356492070444","0.019659392095852","0.0106392222019289","0.00352162896469391","0.0384848177394018","0.0156429513730166","",
"Botswana","BWA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7220399735885","6.59005379565868","3.07780209808131","1.53735263253061","0.987395094342072","1.16822709187158","3.75461800026902","0.990747400821738","1.8462398548857","2.00155471995901","1.60737735004121","0.482039096056538","0.210779864698741","0.493193923850858","1.38530773049759","0.297719923417275","0.631570578172408","1.84190744493588","0.497158872409221","0.156282810339043","1.05199995498198","0.621768783594162","",
"Central African Republic","CAF","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","441.964267319631","433.936339876024","434.425028714176","438.873952156365","446.471272004754","444.805837984538","440.10466055135","432.304971600789","422.806086440484","409.576858108692","395.601770325057","385.812011345575","377.724922240072","371.190291246857","362.654790777504","346.442857394032","334.120298839738","328.699399459054","324.667220272696","322.872751481029","335.994470951376","334.707661137384","",
"Canada","CAN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0151795581994977","0.0398977880179366","0.0476378118075151","0.0528558004178185","0.0501461490032829","0.0401956959414098","0.0644312398268776","0.0530213275485564","0.029929758739019","0.0165824740219528","0.00885001911621865","0.00230458409544355","0.000426929417040269","0.000144219235451123","9.1487516889955E-05","6.69091777805985E-05","1.70561642175678E-06","0","0","0","0","","",
"Cote d'Ivoire","CIV","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","496.975059629147","511.364666937424","512.792090611707","511.703505741632","502.245414697213","458.237481323354","438.084792577685","438.265590860695","453.297467038864","466.483897048433","472.029979864623","462.049795310597","378.49693367484","290.766081031211","258.993694259882","239.805583313627","242.342843214452","250.687378823323","264.02044278047","274.750538788488","275.941367584932","270.874111042305","",
"Cameroon","CMR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","406.436921109858","414.486938282103","410.366749899287","422.555108660546","430.233057582992","422.40436158899","406.869692933466","385.229159582916","350.12760237481","307.287012959183","286.151710360118","266.574068242004","257.64605221093","262.003249687397","261.23711545471","260.553914573752","258.387508577015","252.173517351981","247.997068838432","242.260749024332","249.184555953308","245.084310870387","",
"Congo, Dem. Rep.","COD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","469.523731159233","469.83412837423","470.338007156208","474.509302607045","481.241601007958","481.689065313851","473.914069071951","464.05512877889","444.963445019809","413.96724287091","389.912721133407","365.719042457755","345.523943032318","326.492089189163","307.504659778931","295.763539264582","297.480538689442","308.210408471007","320.878874192655","320.674687630789","324.207426413611","318.252525395375","",
"Congo, Rep.","COG","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","353.415570367865","350.936249366569","321.674024468368","319.211318635786","317.812076278601","299.510814386364","278.969811893721","256.686943881563","231.367502265502","216.836769448679","214.312046011117","215.518858622718","216.581654681678","219.195015146852","213.122674226839","210.902960398358","217.142899007177","233.140009863826","242.959738374604","237.739988615502","228.694354118271","219.343651930856","",
"Colombia","COL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2713582077896","37.7590774840933","32.539980199017","27.9681721004546","21.415735138295","17.8553298799984","17.4685152131677","18.063979012988","11.3363843133867","11.2688681298307","16.5860398043185","8.98520247909044","8.30484593719529","7.06737598975599","5.51807958753749","8.1328924266064","10.958932691952","7.56340092311923","8.60054415328542","10.7786074868216","9.40052621874661","8.97989882028901","",
"Comoros","COM","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3315684163068","65.0362123704452","63.7817571688963","62.5436304000842","61.3107713273934","60.0928320873047","58.8878341144912","57.693398757333","56.5030899010278","55.3220035082094","55.6961330683024","37.0945765448736","72.8066344023034","76.0030483576473","3.08279178071457","1.78029514554598","1.53169523687004","4.24071506596084","19.5616974081331","22.2494456286205","5.63903712138691","12.8245854252244","",
